,Unnamed: 0,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
25,229,2015-10-28,shot,gun,35,M,White,Salem,OR,False,attack,Car,False,-122.998,44.885,True,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,10,2015,4,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
26,240,2016-07-05,shot,knife,29,M,White,Salem,OR,False,other,unknown,False,-123.112,44.931,True,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,7,2016,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
27,287,2019-09-18,shot,gun,43,M,White,Salem,OR,False,attack,Not fleeing,False,-123.06,44.94,True,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,1,9,2019,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
28,296,2020-03-27,shot,gun,51,M,None,Salem,OR,False,other,unknown,False,-122.99,44.943,True,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,1,3,2020,1,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
29,303,2020-10-29,shot,gun,30,M,Hispanic,Salem,OR,False,attack,Foot,False,-123.02,44.936,True,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,10,2020,4,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
30,313,2021-04-02,shot,gun,22,M,White,Salem,OR,True,other,Not fleeing,False,-123.046,44.902,True,18-24,20-24,18-24,18-24,18-29,armed,armed,gun,gun,gun,1,4,2021,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
31,320,2021-07-09,shot,knife,22,M,None,Salem,OR,True,attack,unknown,False,-122.987,44.956,True,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,7,2021,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
32,328,2022-02-06,shot,undetermined,40,M,White,Salem,OR,True,other,Car,False,,,True,35-39,35-39,35-44,35-39,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,2,2022,1,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
33,332,2022-04-11,shot,unarmed,28,M,None,Salem,OR,False,attack,unknown,False,-123.017,44.943,True,25-29,25-29,25-34,25-29,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,1,4,2022,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
34,337,2022-07-13,shot,gun,16,M,None,Salem,OR,False,attack,unknown,False,,,True,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,1,7,2022,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Salem, OR","Salem, OR Metro Area",433353.0,108470.0,302639.0,22244.0,288884.617,6054.617,11377.367,4354.95,9445.533,4765.917,16143.284
35,239,2016-05-31,shot,knife,36,M,White,Bend,OR,False,other,Not fleeing,False,-121.342,43.968,True,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,5,2016,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Bend, OR","Bend, OR Metro Area",198253.0,17237.0,170227.0,10789.0,169790.7,1294.417,3692.367,2506.65,3148.95,582.917,4275.284000000001
36,244,2016-12-23,tasered and shot,vehicle,31,M,White,Bend,OR,True,other,Not fleeing,False,-121.314,44.057,True,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,1,12,2016,4,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Bend, OR","Bend, OR Metro Area",198253.0,17237.0,170227.0,10789.0,169790.7,1294.417,3692.367,2506.65,3148.95,582.917,4275.284000000001
37,265,2018-06-20,shot,metal pole,44,M,White,Bend,OR,False,other,Not fleeing,False,-121.261,44.092,True,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,other weapon,1,6,2018,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Bend, OR","Bend, OR Metro Area",198253.0,17237.0,170227.0,10789.0,169790.7,1294.417,3692.367,2506.65,3148.95,582.917,4275.284000000001
38,241,2016-10-13,tasered and shot,knife,46,M,White,Grants Pass,OR,True,other,unknown,False,-123.384,42.416,True,45-49,45-49,45-54,45-49,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,10,2016,4,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Grants Pass, OR","Grants Pass, OR Metro Area",88090.0,7037.0,75467.0,5586.0,75403.617,641.75,1309.033,1119.033,2303.783,275.783,1584.8159999999998
39,343,2022-09-19,shot,unknown weapon,46,M,None,Grants Pass,OR,False,undetermined,Foot,False,-123.345,42.437,True,45-49,45-49,45-54,45-49,40-49,armed,armed,other weapon,other weapon,other weapon,1,9,2022,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Grants Pass, OR","Grants Pass, OR Metro Area",88090.0,7037.0,75467.0,5586.0,75403.617,641.75,1309.033,1119.033,2303.783,275.783,1584.8159999999998
40,256,2017-11-23,shot,gun,26,M,Hispanic,Klamath Falls,OR,False,other,Foot,False,-121.765,42.221,True,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,11,2017,4,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Klamath Falls, OR","Klamath Falls, OR Micro Area",69413.0,8772.0,56163.0,4478.0,54048.233,731.067,1069.817,869.117,3716.317,206.45,1276.267
