,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
206,"Crescent City, CA Micro Area",27743.0,5321.0,20215.0,2207.0,17270.65,961.317,970.733,363.7,2773.317,82.283,CA,Crescent City,1053.0159999999998
207,"Crestview-Fort Walton Beach-Destin, FL Metro Area",286973.0,28765.0,239803.0,18405.0,215269.767,24693.683,9985.65,3043.267,4407.267,808.367,FL,Crestview-Fort Walton Beach-Destin,10794.017
208,"Crossville, TN Micro Area",61145.0,1936.0,57222.0,1987.0,57282.75,418.25,442.583,296.0,745.25,24.167,TN,Crossville,466.75
209,"Cullman, AL Micro Area",87866.0,4146.0,80236.0,3484.0,80013.083,1123.417,626.083,471.25,1389.833,96.333,AL,Cullman,722.4159999999999
210,"Cullowhee, NC Micro Area",57226.0,3884.0,50777.0,2565.0,42533.583,1062.0,666.167,297.0,8736.583,46.667,NC,Cullowhee,712.8340000000001
211,"Cumberland, MD-WV Metro Area",95044.0,1458.0,89812.0,3774.0,84358.667,6741.083,983.5,560.0,898.25,44.5,MD,Cumberland,1028.0
212,"Dallas-Fort Worth-Arlington, TX Metro Area",7637387.0,2235234.0,5128806.0,273347.0,3387576.833,1239533.883,633546.683,54164.333,75547.4,11783.867,TX,Dallas-Fort Worth-Arlington,645330.5499999999
213,"Dalton, GA Metro Area",142837.0,42830.0,96020.0,3987.0,91946.383,4361.767,1683.467,653.35,1323.217,38.817,GA,Dalton,1722.284
214,"Danville, IL Metro Area",74188.0,3816.0,67400.0,2972.0,57598.167,10963.667,664.583,464.083,662.917,18.583,IL,Danville,683.1659999999999
215,"Danville, KY Micro Area",54889.0,1965.0,50821.0,2103.0,48578.0,3052.0,478.917,269.5,531.583,14.0,KY,Danville,492.917
216,"Danville, VA Micro Area",103091.0,3786.0,96510.0,2795.0,62392.583,34822.75,875.917,441.833,739.25,32.667,VA,Danville,908.5840000000001
