,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino)
"Albemarle, NC Micro Area",100.0,4.937284013823115,95.06271598617688,91.41014975041597,3.6525662357609114,3.6525662357609114,79.54170933060284,11.854041341354153,1.9798732881095609,0.43663925508767437,1.225121592218098,0.02533117880455651,95.06271598617688
"Albert Lea, MN Micro Area",100.0,10.302637967308625,89.69736203269137,86.82958407509305,2.867777957598317,2.867777957598317,82.55192425958894,1.7767179155203108,3.894911798025571,0.7485029940119761,0.6929373685062308,0.03236769703835572,89.69736203269137
"Albertville, AL Micro Area",100.0,16.041060525345245,83.95893947465476,80.19813137728967,3.760808097365078,3.760808097365078,78.30418698520674,2.731853665532926,0.7350868745646028,0.4750440519608245,1.555853788468631,0.1569141089210343,83.95893947465476
"Albuquerque, NM Metro Area",100.0,47.91321159855455,52.086788401445446,48.91143532985354,3.1753530715919207,3.1753530715919207,39.510966058865634,2.719762298587714,2.792971627708046,0.8534455030288218,6.062702612467922,0.14694040989473317,52.08678851055287
"Alexander City, AL Micro Area",100.0,2.6016480328059113,97.39835196719409,94.5916669890518,2.806684978142288,2.806684978142288,69.08648883902664,26.3873844249294,0.5211362141668923,0.46407404541761765,0.9208924910054548,0.018375952648071493,97.39835196719409
"Alexandria, LA Metro Area",100.0,4.220326955424727,95.77967304457528,91.87605130361648,3.9036217409587888,3.9036217409587888,62.8432618008831,29.143713204373423,1.471047755466779,0.6665264928511354,1.6027892399074852,0.05233520815811607,95.77967370164002
"Alexandria, MN Micro Area",100.0,2.0894221401835615,97.91057785981644,95.50838332564221,2.40219453417423,2.40219453417423,95.07575757575758,0.8278649438547916,0.7729580064605445,0.5005640157924423,0.6748961698200276,0.05853714813105676,97.91057785981644
"Alice, TX Micro Area",100.0,79.62932556134805,20.370674438651946,17.649111284430035,2.7215631542219123,2.7215631542219123,17.544435778498418,0.7563318418784122,0.41647920857107673,1.2679077213579082,0.34857559213496986,0.03694429621115718,20.370674438651946
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",100.0,18.267433509419426,81.73256649058057,78.5532707808082,3.179295709772372,3.179295709772372,70.83766587112727,6.023267845395405,3.409290523489684,0.9132170151840899,0.5018299340170254,0.04729530136711339,81.73256649058057
"Alma, MI Micro Area",100.0,7.550106558750988,92.449893441249,89.67218217954552,2.7777112617035034,2.7777112617035034,84.69385311654415,5.508728239266301,0.538380306984986,0.6373578218912381,0.9777854936423938,0.09378846291994923,92.449893441249
"Alpena, MI Micro Area",100.0,1.4425571660843395,98.55744283391566,94.84207977306535,3.715363060850313,3.715363060850313,95.23154599232019,0.6405611097658007,0.565894074099699,0.7498771923755492,1.2739128930708825,0.09565157228352994,98.55744283391566
"Altoona, PA Metro Area",100.0,1.3906303430981422,98.60936965690186,95.14582078129325,3.463548875608604,3.463548875608604,93.68971601178941,2.5078300304505707,0.8644623927309439,0.7491190503330022,0.7554289948054909,0.042812362606047774,98.60936884271547
"Altus, OK Micro Area",100.0,23.954004438168248,76.04599556183176,69.93342747629615,6.112568085535607,6.112568085535607,62.77546903368973,7.4500020173492025,1.7009602582206982,0.748505144240468,2.962408714948557,0.4086463586846883,76.04599152713335
"Amarillo, TX Metro Area",100.0,28.951844311867536,71.04815568813247,67.4797443903964,3.5684112977360614,3.5684112977360614,58.781990092708725,6.664222843340492,3.4217123014913047,0.6916309068781611,1.4300441771402839,0.05855536657349892,71.04815568813247
