,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,state_name,PopEstimate2020,PopEstimate2021,city/state
60,2017-07-09,shot,gun,34,M,White,Bainbridge Island,WA,FALSE,attack,Not fleeing,FALSE,,,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Bainbridge Island, WA"
61,2017-07-27,shot,knife,31,M,White,Wenatchee,WA,FALSE,other,Not fleeing,FALSE,-120.325,47.436,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Wenatchee, WA"
62,2017-08-09,shot,Unknown,20,M,Black,Kent,WA,FALSE,attack,Car,FALSE,-122.202,47.39,18-24,15-19,18-24,18-24,18-29,,,,,,Washington,7718785,7738692,"Kent, WA"
63,2017-08-12,shot,knife,35,M,Hispanic,Frederickson,WA,FALSE,attack,Not fleeing,FALSE,-122.355,47.084,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Frederickson, WA"
64,2017-08-13,shot,sword,46,M,Black,Kennewick,WA,TRUE,attack,Not fleeing,FALSE,-119.138,46.212,45-49,45-49,45-54,45-49,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Kennewick, WA"
65,2017-09-03,shot,gun,47,M,White,Longview,WA,FALSE,other,Not fleeing,FALSE,-122.965,46.151,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Longview, WA"
66,2017-09-10,shot,gun,58,M,Hispanic,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.479,47.206,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Tacoma, WA"
67,2017-09-17,shot,gun,37,M,White,Oak Harbor,WA,TRUE,attack,Not fleeing,FALSE,-122.643,48.293,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Oak Harbor, WA"
68,2017-09-21,shot,knife,40,M,White,Tacoma,WA,TRUE,other,Not fleeing,FALSE,-122.402,47.186,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Tacoma, WA"
69,2017-10-04,shot,Unknown,34,M,White,Spokane,WA,TRUE,other,Not fleeing,FALSE,,,30-34,30-34,25-34,30-34,30-39,,,,,,Washington,7718785,7738692,"Spokane, WA"
70,2017-10-10,shot,gun,55,M,None,Rochester,WA,TRUE,attack,unknown,FALSE,-123.161,46.827,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Rochester, WA"
71,2017-10-30,shot,gun,33,M,Native,Federal Way,WA,FALSE,attack,Not fleeing,FALSE,-122.313,47.319,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Federal Way, WA"
72,2017-11-27,shot,gun,26,M,None,Yakima,WA,FALSE,attack,Car,FALSE,-120.742,46.702,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Yakima, WA"
73,2017-11-28,shot,gun,59,M,White,Hillyard,WA,FALSE,attack,Foot,FALSE,-117.368,47.708,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Hillyard, WA"
74,2017-12-11,shot,gun,36,M,None,Seattle,WA,FALSE,attack,Car,TRUE,-122.253,47.68,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Seattle, WA"
75,2017-12-17,shot,gun,52,M,None,Bremerton,WA,FALSE,attack,Not fleeing,FALSE,-122.643,47.584,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Bremerton, WA"
76,2017-12-19,shot,gun,36,M,None,Kirkland,WA,FALSE,other,Not fleeing,FALSE,-122.194,47.709,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Kirkland, WA"
77,2017-12-25,shot,gun,28,M,None,Yakima,WA,FALSE,attack,Not fleeing,FALSE,-120.51,46.574,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Yakima, WA"
78,2017-12-26,shot,undetermined,31,M,None,Yakima,WA,TRUE,undetermined,Not fleeing,FALSE,-120.507,46.603,30-34,30-34,25-34,30-34,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,Washington,7718785,7738692,"Yakima, WA"
79,2017-12-26,shot,gun,36,M,Native,Spokane,WA,FALSE,attack,Foot,TRUE,-117.428,47.669,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Spokane, WA"
80,2018-01-07,shot,gun,27,M,White,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.436,47.204,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Tacoma, WA"
81,2018-01-12,shot,gun,36,M,Hispanic,Puyallup,WA,FALSE,attack,Car,FALSE,-122.336,47.109,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Puyallup, WA"
82,2018-01-21,shot,unknown weapon,35,M,White,Ebey Island,WA,TRUE,other,Not fleeing,FALSE,-122.162,47.978,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Ebey Island, WA"
83,2018-02-19,shot,gun,41,M,None,Seattle,WA,FALSE,attack,Not fleeing,FALSE,-122.291,47.672,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Seattle, WA"
84,2018-03-16,shot,knife,28,M,White,Elk Plain,WA,TRUE,other,Not fleeing,FALSE,-122.375,47.028,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Elk Plain, WA"
85,2018-04-06,shot,gun,36,M,White,Federal Way,WA,FALSE,attack,Not fleeing,FALSE,-122.297,47.35,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Federal Way, WA"
86,2018-06-07,shot,gun,50,M,White,Benton City,WA,FALSE,other,Not fleeing,FALSE,-119.488,46.263,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Benton City, WA"
87,2018-06-14,shot,gun,40,M,Hispanic,Kirkland,WA,FALSE,other,Not fleeing,FALSE,-122.176,47.731,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Kirkland, WA"
88,2018-07-25,shot,vehicle,54,M,White,Spokane,WA,FALSE,attack,Car,FALSE,-117.363,47.646,50-54,50-54,45-54,50-54,50-59,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Spokane, WA"
89,2018-07-26,shot,gun,18,M,Hispanic,Kent Station,WA,FALSE,other,Not fleeing,FALSE,-122.233,47.385,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Kent Station, WA"
90,2018-08-03,shot,gun,31,M,White,Deer Park,WA,TRUE,attack,Not fleeing,FALSE,-117.459,47.997,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Deer Park, WA"
91,2018-08-19,shot,gun,42,M,None,Spokane,WA,TRUE,attack,Not fleeing,FALSE,-117.218,47.694,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Spokane, WA"
92,2018-09-03,shot,knife,40,M,White,Cheney,WA,TRUE,other,Not fleeing,FALSE,-117.582,47.483,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Cheney, WA"
93,2018-09-09,shot,knife,43,M,None,Stanwood,WA,FALSE,other,Not fleeing,FALSE,-122.341,48.242,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Stanwood, WA"
94,2018-09-16,shot,gun,40,M,None,Walla Walla,WA,TRUE,other,Not fleeing,FALSE,-118.369,46.049,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Walla Walla, WA"
95,2018-09-18,shot,knife,37,M,White,Marysville,WA,TRUE,attack,Not fleeing,FALSE,-122.154,48.114,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Marysville, WA"
96,2018-09-23,shot,knife,36,M,None,Oak Harbor,WA,FALSE,other,unknown,FALSE,,,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Oak Harbor, WA"
97,2018-10-16,shot,vehicle,45,M,None,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.41,47.238,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Tacoma, WA"
98,2018-10-17,shot,gun,29,M,White,Longview,WA,FALSE,attack,Foot,FALSE,-122.931,46.117,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Longview, WA"
99,2018-10-20,shot,gun,50,M,White,Spanaway,WA,FALSE,other,Not fleeing,FALSE,-122.438,47.111,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Spanaway, WA"
100,2018-10-23,shot,unarmed,24,M,White,Alderwood Manor,WA,FALSE,attack,Car,FALSE,-122.239,47.824,18-24,20-24,18-24,18-24,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,Washington,7718785,7738692,"Alderwood Manor, WA"
101,2018-11-28,shot,vehicle,33,M,Hispanic,Vancouver,WA,FALSE,attack,Car,FALSE,-122.561,45.674,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Vancouver, WA"
102,2018-12-31,shot,gun,36,M,Asian,Seattle,WA,FALSE,attack,Foot,TRUE,-122.345,47.699,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Seattle, WA"
103,2019-01-07,shot,gun,38,M,Hispanic,Kent,WA,FALSE,attack,Car,FALSE,-122.215,47.378,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Kent, WA"
104,2019-01-07,shot,baseball bat,35,M,White,Spokane,WA,FALSE,attack,Not fleeing,TRUE,,,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Spokane, WA"
105,2019-01-13,shot,knife,43,M,None,Lakewood,WA,TRUE,attack,Not fleeing,FALSE,-122.523,47.177,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Lakewood, WA"
106,2019-01-23,shot,knife,46,M,Black,Spokane,WA,FALSE,other,unknown,FALSE,-117.426,47.691,45-49,45-49,45-54,45-49,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Spokane, WA"
107,2019-02-07,shot,knife,34,M,Hispanic,Seattle,WA,FALSE,attack,Not fleeing,TRUE,-122.343,47.705,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Seattle, WA"
108,2019-02-19,shot,knife,16,M,Asian,Vancouver,WA,FALSE,attack,Not fleeing,FALSE,-122.561,45.612,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Vancouver, WA"
109,2019-02-28,shot,gun,29,M,White,Vancouver,WA,TRUE,attack,Not fleeing,FALSE,-122.681,45.63,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Vancouver, WA"
110,2019-03-03,shot,toy weapon,40,M,None,Glenoma,WA,FALSE,attack,Not fleeing,FALSE,-122.1,46.541,35-39,35-39,35-44,35-39,30-39,unarmed,toy weapon,unarmed,toy weapon,toy weapon,Washington,7718785,7738692,"Glenoma, WA"
111,2019-03-07,shot,gun,36,M,Hispanic,Vancouver,WA,FALSE,other,Not fleeing,FALSE,-122.646,45.679,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Vancouver, WA"
