,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,state_name,PopEstimate2020,PopEstimate2021,city/state,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
32,2016-09-03,shot,undetermined,25,M,White,East Wenatchee,WA,FALSE,undetermined,Not fleeing,FALSE,-120.303,47.44,TRUE,18-24,20-24,18-24,18-24,18-29,undetermined,undetermined,undetermined,undetermined,undetermined,1,Washington,7718785,7738692,"East Wenatchee, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
33,2016-09-09,shot,unknown weapon,64,M,White,Auburn,WA,TRUE,other,Not fleeing,FALSE,-122.21,47.317,TRUE,60-65,60-65,55-65,Over 60,60-70,armed,armed,other weapon,other weapon,other weapon,1,Washington,7718785,7738692,"Auburn, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
34,2016-10-08,shot,knife,21,M,Hispanic,Federal Way,WA,TRUE,other,Not fleeing,FALSE,-122.296,47.343,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Federal Way, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
35,2016-10-11,shot,knife,44,M,Asian,Seattle,WA,FALSE,other,Not fleeing,FALSE,,,TRUE,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Seattle, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
36,2016-10-13,shot,gun,38,M,White,Kent,WA,FALSE,other,Not fleeing,FALSE,-122.226,47.384,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Kent, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
37,2016-10-21,shot,gun,23,F,Native,Muckleshoot Indian Reservation,WA,TRUE,other,Not fleeing,FALSE,-122.131,47.259,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Muckleshoot Indian Reservation, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
38,2016-11-05,shot,gun,59,M,None,Beaver,WA,TRUE,other,unknown,FALSE,-124.348,48.057,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Beaver, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
39,2016-12-01,shot,gun,38,M,Black,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.419,47.21,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Tacoma, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
40,2016-12-17,shot,gun,44,M,Native,Everett,WA,FALSE,other,Not fleeing,FALSE,-122.214,47.966,TRUE,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Everett, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
41,2016-12-18,shot,gun,37,M,White,Ridgefield,WA,FALSE,other,Not fleeing,FALSE,-122.713,45.83,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Ridgefield, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
42,2017-01-15,tasered and shot,knife,33,M,White,Spokane,WA,FALSE,other,Foot,TRUE,-117.434,47.651,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Spokane, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
43,2017-01-28,shot,gun,17,M,Black,Des Moines,WA,FALSE,attack,Not fleeing,FALSE,-122.296,47.408,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Des Moines, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
44,2017-01-30,shot,knife,36,M,White,Lynnwood,WA,TRUE,other,Not fleeing,FALSE,-122.311,47.829,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Lynnwood, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
45,2017-02-09,tasered and shot,knife,33,M,Hispanic,Lake Stevens,WA,TRUE,other,Not fleeing,FALSE,-122.088,47.979,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Lake Stevens, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
46,2017-02-10,shot,knife,25,M,White,Vancouver,WA,FALSE,other,Foot,FALSE,-122.613,45.652,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Vancouver, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
47,2017-03-12,shot,knife,28,M,Hispanic,Bellingham,WA,FALSE,attack,Foot,TRUE,-122.475,48.751,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Bellingham, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
48,2017-03-14,shot,Unknown,36,M,White,Fife,WA,FALSE,attack,Not fleeing,FALSE,-122.364,47.239,TRUE,35-39,35-39,35-44,35-39,30-39,,,,,,1,Washington,7718785,7738692,"Fife, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
49,2017-03-23,shot,machete,51,M,Black,Des Moines,WA,TRUE,other,Not fleeing,FALSE,-122.31,47.393,TRUE,50-54,50-54,45-54,50-54,50-59,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Des Moines, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
50,2017-04-14,shot,gun,33,M,White,Spanaway,WA,TRUE,other,Car,FALSE,-122.355,47.084,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Spanaway, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
51,2017-04-20,shot,gun,19,M,Black,Seattle,WA,FALSE,attack,unknown,FALSE,-122.337,47.604,TRUE,18-24,15-19,18-24,18-24,18-29,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Seattle, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
52,2017-06-06,shot,gun,50,M,None,Vancouver,WA,FALSE,attack,Car,FALSE,-122.486,45.676,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Vancouver, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
53,2017-06-10,shot,knife,25,M,Other,Auburn,WA,FALSE,other,Car,FALSE,-122.224,47.288,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Auburn, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
54,2017-06-14,tasered and shot,pen,20,M,Asian,Burien,WA,FALSE,attack,Not fleeing,FALSE,-122.33,47.481,TRUE,18-24,15-19,18-24,18-24,18-29,armed,armed,other weapon,other weapon,other weapon,1,Washington,7718785,7738692,"Burien, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
55,2017-06-18,shot,knife,30,F,Black,Seattle,WA,TRUE,other,Not fleeing,FALSE,-122.262,47.678,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Seattle, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
