,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state
5369,2019-03-14,shot,knife,38,M,Hispanic,Jacksonville,FL,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5370,2019-03-17,shot,gun,33,M,Hispanic,Clermont,FL,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,3,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Clermont, FL"
5371,2019-03-19,shot,knife,52,M,Hispanic,Tampa,FL,True,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,3,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Tampa, FL"
5372,2019-03-24,shot,gun,46,M,White,Port St. Joe,FL,False,other,Car,False,True,45-59,armed,gun,gun,1,3,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Port St. Joe, FL"
5373,2019-03-30,shot,gun,25,M,Black,Miami,FL,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,3,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
5374,2019-04-03,shot,gun,55,M,Hispanic,Boynton Beach,FL,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,4,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Boynton Beach, FL"
5375,2019-04-10,shot,gun,47,M,White,Pinellas Park,FL,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,4,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Pinellas Park, FL"
5376,2019-04-10,shot,gun,57,M,White,Mexico Beach,FL,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,4,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Mexico Beach, FL"
5377,2019-04-11,shot,gun,30,M,White,DeLand,FL,True,attack,Car,False,True,18-29,armed,gun,gun,1,4,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"DeLand, FL"
5378,2019-05-01,shot,knife,51,M,Hispanic,Miami,FL,False,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
5379,2019-05-01,shot,knife,37,M,None,Bruce,FL,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Bruce, FL"
5380,2019-05-15,shot,knife,43,M,Hispanic,Tamarac,FL,False,attack,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Tamarac, FL"
