,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter
2071,2017-02-08,shot,unarmed,25,M,Black,Chicago,IL,False,other,Foot,False,-87.64,41.879,True,18-29,unarmed,unarmed,unarmed,1,2,2017,1
2072,2017-02-09,shot,toy weapon,17,M,Black,Portland,OR,False,other,Foot,False,-122.578,45.536,True,Under 18,unarmed,unarmed,toy weapon,1,2,2017,1
2073,2017-02-09,shot,undetermined,35,M,None,Crownpoint,NM,False,undetermined,Not fleeing,False,-108.136,35.68,True,30-44,undetermined,undetermined,undetermined,1,2,2017,1
2074,2017-02-09,tasered and shot,unarmed,26,M,White,Geneva Township,OH,False,other,Not fleeing,False,-80.916,41.804,True,18-29,unarmed,unarmed,unarmed,1,2,2017,1
2075,2017-02-09,tasered and shot,knife,33,M,Hispanic,Lake Stevens,WA,True,other,Not fleeing,False,-122.088,47.979,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1
2076,2017-02-10,shot,knife,25,M,White,Vancouver,WA,False,other,Foot,False,-122.613,45.652,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1
2077,2017-02-10,shot,gun,31,M,Black,Nashville,TN,False,other,Foot,False,-86.76,36.168,True,30-44,armed,gun,gun,1,2,2017,1
2078,2017-02-10,shot,undetermined,25,M,White,Vassalboro,ME,False,other,Not fleeing,False,-69.666,44.416,True,18-29,undetermined,undetermined,undetermined,1,2,2017,1
2079,2017-02-10,shot,unarmed,18,F,White,Vassalboro,ME,False,other,Not fleeing,False,-69.666,44.416,True,Under 18,unarmed,unarmed,unarmed,1,2,2017,1
2080,2017-02-10,shot,gun,45,M,White,Bethany,OK,False,attack,Not fleeing,False,-97.66,35.508,True,30-44,armed,gun,gun,1,2,2017,1
2081,2017-02-10,shot,gun,25,M,Black,Greensboro,NC,False,attack,Other,True,-79.867,36.037,True,18-29,armed,gun,gun,1,2,2017,1
2082,2017-02-10,shot,gun,23,M,Black,Bridgeton,NJ,False,other,Foot,False,-75.229,39.419,True,18-29,armed,gun,gun,1,2,2017,1
2083,2017-02-10,tasered and shot,knife,55,F,White,Chicago,IL,True,attack,Not fleeing,False,-87.689,41.952,True,45-59,armed,other weapon,knife/cutting instrument,1,2,2017,1
2084,2017-02-11,shot,gun,37,M,White,Greenville,SC,False,other,Not fleeing,False,-82.372,34.801,True,30-44,armed,gun,gun,1,2,2017,1
2085,2017-02-11,shot,undetermined,33,M,Asian,Aiea,HI,False,other,Car,False,-157.94,21.387,True,30-44,undetermined,undetermined,undetermined,1,2,2017,1
2086,2017-02-11,shot,gun,27,M,Black,Kansas City,MO,False,attack,Not fleeing,False,-94.507,38.918,True,18-29,armed,gun,gun,1,2,2017,1
2087,2017-02-11,shot,metal stick,32,M,White,Louisville,KY,True,attack,Not fleeing,True,-85.78,38.2,True,30-44,armed,other weapon,other weapon,1,2,2017,1
2088,2017-02-12,shot,undetermined,34,M,None,Terrell,TX,False,other,Other,False,-96.356,32.739,True,30-44,undetermined,undetermined,undetermined,1,2,2017,1
2089,2017-02-12,shot,gun,31,M,Black,Durham,NC,False,other,Other,False,-78.906,36.022,True,30-44,armed,gun,gun,1,2,2017,1
2090,2017-02-12,shot,knife,26,M,Hispanic,Santa Barbara,CA,True,other,Foot,False,-119.752,34.449,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1
2091,2017-02-13,shot,undetermined,32,M,White,Knoxville,TN,False,attack,Car,False,-84.16,35.899,True,30-44,undetermined,undetermined,undetermined,1,2,2017,1
2092,2017-02-13,shot,gun,53,M,White,Golden Shores,AZ,False,attack,Not fleeing,False,-114.496,34.767,True,45-59,armed,gun,gun,1,2,2017,1
2093,2017-02-13,shot,unarmed,19,M,Black,Detroit,MI,False,attack,Other,False,-83.129,42.377,True,18-29,unarmed,unarmed,unarmed,1,2,2017,1
2094,2017-02-14,shot,knife,53,M,White,Columbus,OH,True,other,Not fleeing,False,-83.075,39.947,True,45-59,armed,other weapon,knife/cutting instrument,1,2,2017,1
