,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,city/state
6130,2021-03-10,shot,gun,30,M,None,Bartholomew County,IN,False,attack,Car,False,,,True,18-29,armed,gun,gun,1,3,2021,1,"Bartholomew County, IN"
6131,2021-03-11,shot,gun,49,M,White,Cape Coral,FL,False,attack,Not fleeing,False,-82.029,26.67,True,45-59,armed,gun,gun,1,3,2021,1,"Cape Coral, FL"
6132,2021-03-11,shot,knife,32,M,Black,Danville,CA,False,other,Not fleeing,True,-121.991,37.811,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Danville, CA"
6133,2021-03-12,shot,gun,33,M,White,Kimberling City,MO,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Kimberling City, MO"
6134,2021-03-12,tasered and shot,gun,31,F,Black,Memphis,TN,False,attack,Car,True,-86.781,36.22,True,30-44,armed,gun,gun,1,3,2021,1,"Memphis, TN"
6135,2021-03-12,tasered and shot,knife,43,M,White,Valdosta,GA,False,other,Not fleeing,False,-83.336,30.849,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Valdosta, GA"
6136,2021-03-12,tasered and shot,knife,24,M,White,Harrison Township,OH,False,other,Not fleeing,False,-84.191,39.808,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Harrison Township, OH"
6137,2021-03-13,shot,gun,24,M,White,Austin,AR,False,attack,Not fleeing,False,-91.988,34.981,True,18-29,armed,gun,gun,1,3,2021,1,"Austin, AR"
6138,2021-03-13,shot,undetermined,34,M,None,Monahans,TX,False,undetermined,Not fleeing,False,,,True,30-44,undetermined,undetermined,undetermined,1,3,2021,1,"Monahans, TX"
6139,2021-03-13,shot,gun,25,M,White,Wasilla,AK,False,attack,Not fleeing,False,,,True,18-29,armed,gun,gun,1,3,2021,1,"Wasilla, AK"
6140,2021-03-14,shot,gun and vehicle,51,M,White,Reidsville,GA,False,attack,Other,False,-82.11,32.1,True,45-59,armed,gun,gun,1,3,2021,1,"Reidsville, GA"
6141,2021-03-14,shot,gun,28,M,Black,Palm Bay,FL,False,attack,Foot,False,-80.613,28.009,True,18-29,armed,gun,gun,1,3,2021,1,"Palm Bay, FL"
6142,2021-03-14,shot,undetermined,30,M,Native,McLaughlin,SD,False,undetermined,Not fleeing,False,-100.81,45.814,True,18-29,undetermined,undetermined,undetermined,1,3,2021,1,"McLaughlin, SD"
6143,2021-03-14,shot,knife,34,M,Hispanic,Los Angeles,CA,True,other,Not fleeing,False,-118.187,34.036,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Los Angeles, CA"
6144,2021-03-14,shot,undetermined,21,M,Hispanic,Laredo,TX,True,undetermined,Not fleeing,False,,,True,18-29,undetermined,undetermined,undetermined,1,3,2021,1,"Laredo, TX"
6145,2021-03-15,tasered and shot,knife,62,M,White,Muhlenberg Township,PA,False,other,Not fleeing,False,-75.928,40.412,True,60-75,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Muhlenberg Township, PA"
6146,2021-03-16,shot,gun,37,M,Hispanic,Los Angeles,CA,True,attack,Not fleeing,False,-118.256,34.024,True,30-44,armed,gun,gun,1,3,2021,1,"Los Angeles, CA"
6147,2021-03-16,shot,vehicle,22,M,None,Hayward,CA,False,attack,Car,True,-122.065,37.607,True,18-29,armed,other weapon,other weapon,1,3,2021,1,"Hayward, CA"
6148,2021-03-17,shot,gun,36,M,White,Wylie,TX,False,other,Not fleeing,False,-96.548,33.007,True,30-44,armed,gun,gun,1,3,2021,1,"Wylie, TX"
6149,2021-03-17,shot,gun,37,M,None,Pensacola,FL,False,other,Not fleeing,False,-87.143,30.333,True,30-44,armed,gun,gun,1,3,2021,1,"Pensacola, FL"
6150,2021-03-17,tasered and shot,undetermined,44,M,Native,Devils Lake,ND,False,other,Other,False,-99.126,47.975,True,30-44,undetermined,undetermined,undetermined,1,3,2021,1,"Devils Lake, ND"
6151,2021-03-17,tasered and shot,knife,35,M,White,Cypress,TX,False,other,Not fleeing,True,-95.65,29.965,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Cypress, TX"
6152,2021-03-18,shot,gun,50,M,Black,Miami,FL,True,attack,Other,False,-80.352,25.607,True,45-59,armed,gun,gun,1,3,2021,1,"Miami, FL"
