,Total Population,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino),Asian/NHPI Alone and in Combination
Indiana,6785528.0,8.167249475648763,91.83275052435124,87.9223105409041,3.910439983447125,3.910439983447125,77.27752774728805,10.087986520724696,2.748471452774198,0.7275903953236948,0.8975201782381562,0.0936542152651938,91.83275050961399,2.8421256680393916
Iowa,3190369.0,6.769937897465779,93.23006210253422,89.82377900487373,3.4062830976604905,3.4062830976604905,84.28434713978227,4.60337243121407,2.648285104324923,0.6401015054998339,0.8228060766638592,0.23114984504927172,93.23006210253422,2.879434949374194
Kansas,2937880.0,13.02309828856182,86.97690171143819,81.90436641387667,5.072535297561507,5.072535297561507,74.6083990156167,6.309387483491498,3.278381009435375,0.7445868108976541,1.873190872329707,0.16295651966724303,86.97690171143819,3.441337529102618
Kentucky,4505836.0,4.6129952355123445,95.38700476448766,91.4950965814113,3.891908183076348,3.891908183076348,83.14935268394146,8.654103256310261,1.8788773714800096,0.6226395501300979,0.963595501478527,0.11843640114731206,95.38700476448766,1.9973137726273218
Louisiana,4657757.0,6.924985567087334,93.07501443291267,89.72370177319254,3.351312659720118,3.351312659720118,57.19894361169979,31.860084864882392,2.0617155424810694,0.7006222737682537,1.1859928931457782,0.06765524693538114,93.07501443291267,2.1293707894164506
Maine,1362359.0,1.9531562532342797,98.04684374676572,94.11447349780785,3.932370248957874,3.932370248957874,92.0545245416223,2.1693547735949186,1.5131303129351368,0.8380647098158415,1.410079868815782,0.061689539981752244,98.04684374676572,1.574819852916889
Maryland,6177224.0,11.813478028318222,88.18652197168177,83.80325855109027,4.383263420591515,4.383263420591515,48.96958703456439,30.03821996741578,7.340489562949312,0.9997648943926916,0.749335251562838,0.08912526079675918,88.18652197168177,7.429614823746071
Massachusetts,7029917.0,12.62724723492468,87.37275276507532,82.70302480100405,4.669727964071269,4.669727964071269,69.43050252229152,7.296552960724857,7.654043184293642,2.4546544006138338,0.4807223613024165,0.056277335849057676,87.37275276507532,7.7103205201427
Michigan,10077331.0,5.600907621273927,94.39909237872607,90.039604732642,4.359487646084068,4.359487646084068,74.41860928255706,14.176338953240695,3.6439560931361683,0.8458932925791562,1.258854978565257,0.05543977864773918,94.39909237872607,3.6993958717839073
Minnesota,5706494.0,6.056958966398633,93.94304103360138,89.80680607041732,4.13623496318405,4.13623496318405,78.2053577906154,7.508625260974602,5.676255280387573,0.8259607387653436,1.6374262901178902,0.08941567274056539,93.94304103360138,5.765670953128138
Mississippi,2961279.0,3.5531944136300564,96.44680558636995,93.62890156584368,2.817904020526266,2.817904020526266,56.60143134098475,37.01930314570157,1.2707639840757996,0.46514472293897335,1.030250206076496,0.05991218659234743,96.44680558636995,1.3306761706681471
Missouri,6154913.0,4.92400136281374,95.07599863718626,90.07446571543741,5.001532921748853,5.001532921748853,78.11032341155757,11.950224690422107,2.4803442875634474,0.8377746362946155,1.4952567160575625,0.20207487904378177,95.07599862093907,2.682419166607229
Montana,1084225.0,4.168784154580461,95.83121584541954,90.78161820655308,5.049597638866472,5.049597638866472,85.55029786252852,0.7397173095990224,1.090354861767622,1.0008224307685212,7.2965866863427795,0.15343678664483845,95.83121593765132,1.2437916484124605
Nebraska,1961504.0,11.966072972576146,88.03392702742386,84.33095216731651,3.7029748601073464,3.7029748601073464,77.40844357187137,5.401876978073967,3.024279685384277,0.7025476369153466,1.3828895072352643,0.11388964794361878,88.03392702742386,3.1381693333278946
Nevada,3104614.0,28.6752878135575,71.3247121864425,65.94816618104538,5.376546005397128,5.376546005397128,48.148953460881124,10.203109533101378,9.57858422979475,0.9687006822748336,1.3730166455475625,1.0523476670529734,71.32471221865264,10.630931896847724
